Peptide,002-00001 v3,002-00005 v3,002-00007 v3,002-00014 v3,002-00031 v3,002-00036 v3,002-00037 v3,002-00040 v3,004-00003 v2,004-00006 v3,004-00008 v3,004-00009 v3,004-00016 v3,004-00017 v2,004-00024 v3,004-00025 v3,002-00003 v3,002-00008 v3,002-00012 v3,002-00016 v3,002-00018 v3,002-00021 v4,002-00022 v4,002-00024 v2,002-00028 v4,002-00029 v3,002-00035 v3,004-00012 v2,004-00022 v3,004-00028 v2,004-00030 v2
Peptide_165,3098.06,3426.39,3967.72,2801.39,1822.39,4413.39,2080.72,5041.72,9124.72,7663.06,3394.39,8362.06,5537.39,1455.39,8311.06,3824.06,4788.39,2723.72,2703.39,1240.39,3462.72,379.39,1666.72,3527.39,1780.72,3215.39,1898.39,3984.72,6323.06,3051.72,5298.39
Peptide_166,5104.06,5126.39,7636.39,2804.06,1758.06,11187.39,2519.06,13014.39,25186.39,16436.72,6497.72,15169.39,11172.39,1938.39,23044.39,6105.39,6881.39,3916.06,2188.39,1530.39,6700.72,610.39,5060.39,4606.06,2529.39,3635.06,3176.06,8357.72,10129.39,6383.39,12238.72
Peptide_167,2882.33,2370.67,4984.33,3230.67,2270.67,3031.67,2237.33,4934.33,7840.33,7245.00,4000.00,9216.33,4494.67,1567.67,5227.67,4194.33,5174.00,3672.00,4987.33,1424.67,3497.33,340.00,1621.00,3220.83,1802.67,3369.67,1902.67,3721.67,5526.67,2419.67,4366.33
Peptide_168,1710.50,2109.17,3008.50,2164.17,1354.50,2495.17,1434.83,3808.83,5527.17,4005.17,1896.83,5042.50,2583.83,939.17,3505.50,2612.17,3049.83,1972.50,2510.50,868.17,2034.17,275.50,1067.83,1845.33,1271.83,1989.83,1188.50,2450.50,4261.50,1342.17,2746.17
Peptide_169,2061.72,2330.06,3549.06,2305.39,1602.06,3597.72,1472.06,4833.72,7754.72,4993.72,2338.72,5488.72,3290.06,1073.39,4050.72,2919.72,3778.39,2293.39,2581.72,861.39,2310.39,350.39,1226.06,1786.06,1242.06,2215.06,1404.72,2708.06,5227.06,1405.06,3012.72
Peptide_170,2018.72,2092.72,3171.39,1873.72,1329.06,3369.72,1184.39,4409.39,8073.72,4939.39,2401.72,4751.39,3109.06,1065.39,3745.06,2855.72,2766.06,2126.39,2235.39,878.72,1924.39,361.39,1314.72,1142.39,1169.72,2030.72,1161.39,2825.72,4711.06,1331.06,2411.06
Peptide_171,987.33,1244.00,1637.00,1351.00,685.33,1810.33,679.00,2457.33,3690.33,3078.67,1603.67,2417.33,1286.00,456.33,2048.00,1070.33,1483.00,1056.67,1014.67,551.33,959.33,244.00,1268.33,1083.67,684.67,905.67,659.00,1377.33,1672.00,1029.33,1210.67
Peptide_172,3158.72,3783.72,4603.72,2761.39,1577.06,6652.06,2061.39,7713.06,15984.06,8454.72,3975.72,6641.06,4739.39,1407.39,7819.39,4841.72,4211.39,3500.72,3284.72,1272.39,3350.72,372.06,2278.06,3497.06,1617.06,3045.72,1746.39,4530.39,5624.39,3542.06,4281.06
Peptide_173,3467.39,3669.39,4413.39,2938.39,1762.39,5542.39,1946.06,7232.06,13666.72,9054.72,3943.39,7905.39,6186.06,1730.06,11171.39,4796.39,4830.06,3424.72,2954.06,1289.72,3795.06,408.39,2208.39,2651.56,1761.06,3899.06,1792.72,4617.06,6761.39,4801.72,5184.06
Peptide_174,1976.78,1368.44,3191.11,2161.44,1256.78,1605.78,918.11,3416.78,5611.78,4555.44,2531.78,4159.11,1768.44,605.44,2572.11,1518.11,2889.78,2203.44,2282.78,905.44,1910.78,378.44,1235.44,1262.44,1365.11,2702.11,1113.11,2697.11,2774.11,773.11,1673.44
Peptide_175,2456.78,1509.44,3666.78,2578.78,1797.44,1932.78,1623.11,3837.78,6821.78,5229.78,2994.44,6577.44,3098.44,1008.44,2215.11,2750.44,4321.78,2295.44,4476.44,1115.78,1994.78,306.44,1337.11,2410.44,1597.11,2976.44,1369.78,2921.78,4314.78,1275.11,2623.78
Peptide_176,2213.33,1648.33,3325.00,2324.67,1790.00,1986.00,1332.00,3388.00,6157.33,4634.33,2567.00,5138.00,3066.33,988.00,2290.67,2191.00,4290.00,2024.00,3277.00,1036.33,1600.33,314.00,1123.33,2354.00,1454.33,2314.33,1221.33,2652.00,5056.67,1353.00,3041.00
Peptide_177,2016.83,1324.83,3746.17,1847.17,1432.83,2055.17,1477.17,3878.83,6749.50,5439.17,3055.17,6093.17,3234.83,1057.50,2174.17,2823.83,3317.83,2334.17,3248.50,1080.83,2048.83,257.50,1354.50,2104.50,1398.50,2354.50,1162.50,2882.50,4330.83,1075.50,2468.50
Peptide_178,1267.33,897.33,2614.67,1558.33,1133.33,1476.67,1144.33,3263.67,5119.67,3992.33,2568.00,4682.00,1961.00,610.33,1772.00,2033.00,1403.00,1950.33,3214.33,835.00,1516.33,224.00,1111.67,1025.00,1102.67,1959.00,847.33,2025.67,2675.33,602.67,1269.67
Peptide_179,1365.11,1437.11,2607.11,1913.11,1174.44,1460.44,1014.78,2859.78,4087.78,3337.44,1911.11,4089.11,2091.78,659.11,2329.78,1898.44,2624.11,1745.44,2360.78,784.78,1571.44,236.44,1089.78,1216.28,1038.11,1971.78,935.11,1980.11,2916.78,781.78,1725.44
Peptide_180,1899.06,1755.39,3040.72,1764.72,1291.39,1571.06,1164.39,2917.72,4050.72,4472.39,2274.39,5279.06,3572.06,636.39,3101.39,1812.39,2667.72,1668.72,2024.39,816.72,2243.39,293.39,1219.06,1361.39,1356.39,1876.39,1232.72,1954.72,3803.06,848.72,2294.72
Peptide_181,1584.06,1897.06,2791.72,1896.06,1208.06,2216.39,1130.72,3231.72,4863.06,3296.39,1764.06,4207.72,2205.72,729.06,3223.72,2281.39,2940.39,1888.06,2154.72,741.39,1826.72,295.06,1110.72,1446.39,1125.39,1578.72,987.72,2180.06,3936.39,1057.39,2459.06
Peptide_182,1656.67,1762.67,2760.67,1923.00,1097.33,1883.67,1137.00,3059.00,4392.33,3727.33,1885.33,4613.33,3208.67,776.67,3137.67,2239.67,3167.67,1746.00,2047.00,771.67,1735.33,294.00,1113.67,1791.67,1120.67,1838.00,1073.33,2283.67,4216.67,1344.67,3363.00
Peptide_183,1673.50,1544.17,2668.50,2150.50,1276.17,1711.50,948.17,2917.83,4485.50,3457.17,1759.17,3961.17,2483.83,742.17,2831.50,2130.17,3218.50,1842.83,2027.83,743.83,1588.83,279.17,1100.17,1253.50,997.17,1852.50,979.83,2042.17,3863.50,1040.50,2486.50
Peptide_184,1807.22,1802.56,2929.56,1834.56,1259.89,3285.56,1322.56,3373.56,5000.89,3578.22,1946.56,4849.89,2748.22,817.89,3402.56,2211.89,3300.22,2031.22,2005.56,878.56,1766.56,292.56,1164.89,1365.72,1042.22,1754.56,1121.56,2139.56,4143.89,1367.89,3308.22
Peptide_185,2636.00,2579.67,3346.67,1886.00,1400.00,1951.33,1268.33,3226.33,4593.33,5754.67,2608.00,7748.33,5460.67,1055.67,6502.67,1991.67,4275.67,1775.67,1760.67,1031.00,2574.33,400.00,1239.67,2071.00,1811.00,2288.00,1443.00,3403.00,5052.67,2222.67,6886.00
Peptide_186,1763.33,1758.67,2446.00,1734.00,1266.00,2118.00,1002.67,3342.67,4731.67,3513.00,1753.67,4576.00,3307.00,811.67,2753.33,1667.00,3075.67,1350.33,1864.33,859.33,1601.00,275.33,905.00,1516.67,1205.00,1714.67,1009.00,2198.67,3849.67,1063.67,3347.00
Peptide_187,2589.94,2596.28,3324.94,2267.28,1479.61,4432.61,1431.61,5295.28,8185.61,5312.94,2408.28,5988.61,5246.61,1170.61,6692.28,2758.61,4277.94,2086.28,2112.28,1004.94,2487.28,390.61,1313.28,2782.94,1414.28,2344.94,1508.61,3216.61,5575.94,2513.61,5185.28
